species,count,n50_05,n50_20,n50_50,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_50,contig_count_80,contig_count_95,l50_05,l50_20,l50_50,l50_80,l50_95,length_05,length_20,length_50,length_80,length_95
Listeria welshimeri,41,135292.00,204561.00,382828.00,515044.00,1443678.00,12.00,14.00,20.00,35.00,44.00,1.00,2.00,3.00,5.00,7.00,2727613.00,2748614.00,2797143.00,2833997.00,2889699.00
Moraxella catarrhalis,155,49487.60,102245.20,173870.00,287425.60,351111.70,20.00,26.00,40.00,57.00,106.30,3.00,3.00,4.00,7.00,11.30,1836015.10,1875976.60,1920126.00,1954897.60,2007997.70
Mycobacterium avium,133,7829.00,14926.80,51612.00,99042.20,215235.20,68.00,120.00,325.00,586.00,1127.80,6.60,16.00,32.00,91.00,174.40,4583369.80,4773427.60,5177134.00,5394254.80,5632452.20
Mycobacterium tuberculosis,1777,33752.60,105301.20,774276.00,2698752.00,3830971.00,2.00,6.00,15.00,107.80,332.40,1.00,1.00,2.00,14.00,40.00,4291772.40,4354805.20,4386439.00,4399291.00,4412792.80
Mycobacteroides abscessus,314,150173.05,321868.20,613673.00,1205148.80,3178321.85,6.00,11.60,26.00,45.00,81.35,1.00,2.00,3.00,6.00,12.00,4754819.70,4855325.60,5009130.00,5195483.80,5318668.15
Mycoplasma bovis,34,27004.50,27728.60,28609.00,30435.20,33479.90,70.00,72.20,76.00,89.80,100.00,8.65,9.00,12.00,13.00,14.00,900891.10,903996.80,925751.00,945342.60,953635.95
Neisseria gonorrhoeae,284,10324.55,19591.00,26011.00,46424.00,66034.45,105.90,137.00,158.50,212.60,460.25,10.00,15.00,25.00,37.00,62.00,2060033.80,2094772.00,2131852.50,2152937.40,2227754.15
Neisseria meningitidis,714,16665.90,24316.00,43380.00,66847.40,163547.10,25.00,92.00,128.00,151.40,264.70,5.00,10.00,15.00,28.00,40.00,2057716.90,2110187.20,2152451.50,2204313.00,2256944.55
Oenococcus oeni,209,7351.80,15080.20,30595.00,98900.40,148067.40,32.80,56.60,249.00,425.20,629.60,4.00,6.00,18.00,37.00,73.40,1741339.40,1806786.00,1900323.00,1984799.40,2053038.40
Pasteurella multocida,102,15703.95,131815.80,218864.50,289461.60,522043.90,15.10,23.20,32.50,74.20,314.60,2.05,3.00,4.00,6.00,48.85,2196283.55,2261351.60,2333047.50,2388930.60,2439146.65
Pediococcus acidilactici,103,73272.90,105744.00,191843.00,298407.00,396343.60,12.20,19.00,29.00,50.60,67.00,2.10,3.00,4.00,6.00,9.00,1820540.50,1936999.40,2010361.00,2054077.80,2071794.50
Proteus mirabilis,115,12678.70,32148.80,147806.00,206951.20,255868.00,53.20,81.00,138.00,309.40,762.90,4.70,7.00,10.00,36.80,95.50,3747539.40,3885919.20,4003868.00,4129897.60,4234522.70
Pseudomonas aeruginosa,2906,37929.75,102419.00,235843.50,425373.00,665052.50,28.00,44.00,91.00,189.00,479.25,4.00,6.00,9.00,20.00,51.00,6238386.00,6362176.00,6595158.00,6878781.00,7101312.25
