Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Balneolales bacterium	3.969	2.496	1.908	6.412	1.438	0.511
Balneolia bacterium	3.9465	2.585	1.959	6.438	1.13	0.4945
Barnesiella sp.	4.818	1.591	0.954	6.281	1.658	0.514
Bartonella henselae	4.994	1.736	0.8115	6.2665	1.8889999999999998	0.38
Bdellovibrionaceae bacterium	4.275	2.27	1.756	6.45	-1.0	0.421
Bdellovibrionales bacterium	4.231999999999999	2.3840000000000003	1.6975	6.4254999999999995	1.0	0.515
Betaproteobacteria bacterium	4.165	2.5125	1.74	6.412	0.8140000000000001	0.5805
Bifidobacterium adolescentis	5.7475	1.23	0.301	6.345	2.2409999999999997	0.595
Bifidobacterium animalis	5.624	1.204	0.301	6.283	2.148	0.605
Bifidobacterium bifidum	5.373	1.415	0.602	6.343	1.969	0.627
Bifidobacterium breve	5.249499999999999	1.4765000000000001	0.699	6.368	2.0	0.588
Bifidobacterium dentium	5.468999999999999	1.3005	0.5395	6.4115	2.234	0.585
Bifidobacterium longum	5.071	1.672	0.845	6.377	2.049	0.6
Bifidobacterium moukalabense	5.386	1.362	0.301	6.402	1.991	0.599
Bifidobacterium pseudocatenulatum	5.8	1.0965	0.301	6.341	2.3775	0.563
Bifidobacterium pseudolongum	5.3415	1.322	0.477	6.305	2.248	0.632
Bifidobacterium sp.	4.593999999999999	1.9535	1.229	6.2895	2.1205	0.597
Blastocatellia bacterium	3.932	2.588	2.004	6.483	1.13	0.556
Blautia massiliensis	5.151	1.823	0.9515	6.5335	2.0	0.441
Blautia obeum	5.041	2.037	1.041	6.547	2.0	0.417
Blautia wexlerae	4.716	2.369	1.398	6.593	2.0	0.413
Bordetella avium	5.5615	1.7115	0.5395	6.5715	1.874	0.616
Bordetella bronchiseptica	5.002	2.033	1.23	6.717	1.846	0.682
Bordetella holmesii	4.5665	2.1959999999999997	1.484	6.5545	1.9515	0.6275
Bordetella pertussis	4.718	2.033	1.362	6.605	1.944	0.678
Borreliella bavariensis	5.957	1.505	0.0	6.112	2.025	0.279
Borreliella burgdorferi	5.955	1.699	0.0	6.112	1.818	0.281
Borreliella garinii	3.747	2.5060000000000002	1.787	6.044499999999999	0.854	0.28
Brachyspira hyodysenteriae	5.1315	1.6855	0.845	6.484	2.864	0.27
Brachyspira pilosicoli	5.489000000000001	1.3845	0.588	6.4185	2.1725	0.278
Bradyrhizobium canariense	5.287000000000001	2.261	1.114	6.918	1.908	0.63
Bradyrhizobium elkanii	4.9510000000000005	2.4865	1.5030000000000001	6.9655000000000005	1.925	0.637
Brevundimonas sp.	4.625500000000001	2.1734999999999998	1.38	6.486	1.301	0.6765000000000001
Brochothrix thermosphacta	5.124	1.826	0.845	6.405	1.845	0.363
Brucella abortus	5.6655	1.2425	0.477	6.516	2.1685	0.572
Brucella canis	5.673	1.079	0.477	6.514	2.0	0.573
Brucella melitensis	5.393	1.531	0.699	6.517	2.149	0.572
Brucella ovis	5.486	1.362	0.699	6.517	1.934	0.572
Brucella suis	5.56	1.301	0.602	6.52	2.212	0.572
Burkholderia ambifaria	5.59	1.9729999999999999	0.778	6.873	1.9005	0.667
Burkholderia anthina	5.305	2.021	1.079	6.877	1.934	0.667
Burkholderia cenocepacia	5.035	2.19	1.398	6.903	1.886	0.67
Burkholderia cepacia	5.391	2.043	1.041	6.929	1.8675000000000002	0.667
Burkholderia contaminans	5.2725	1.991	1.161	6.922	1.966	0.664
Burkholderia diffusa	5.375	1.839	1.0	6.84	1.987	0.664
Burkholderia gladioli	5.4510000000000005	2.117	1.0	6.918	1.851	0.681
Burkholderia glumae	3.946	2.999	2.262	6.801	2.146	0.683
Burkholderia lata	5.304	1.959	1.161	6.9455	1.9465	0.6635
Burkholderia mallei	4.699	2.367	1.568	6.748	2.17	0.686
Burkholderia multivorans	5.275499999999999	1.9369999999999998	1.0965	6.809	2.1145	0.672
Burkholderia pseudomallei	4.98	2.2135	1.38	6.852	1.9255	0.682
Burkholderia stagnalis	5.308	2.037	1.114	6.888	1.934	0.676
Burkholderia territorii	5.36	1.914	1.0	6.839	1.935	0.667
Burkholderia thailandensis	4.834	2.297	1.447	6.817	1.643	0.677
Burkholderia ubonensis	5.27	2.057	1.114	6.8774999999999995	1.891	0.672
Burkholderia vietnamiensis	5.2745	1.9820000000000002	1.114	6.8335	1.975	0.671
Burkholderiaceae bacterium	3.7755	2.559	1.9085	6.18	0.743	0.478
Burkholderiales bacterium	3.8274999999999997	2.4690000000000003	1.9055	6.289	1.0	0.621
Caldicellulosiruptor bescii	6.467	0.477	0.0	6.4704999999999995	2.3339999999999996	0.352
Calditrichaeota bacterium	3.792	2.7155	2.097	6.5555	1.333	0.4385
Campylobacter coli	4.897	1.785	0.903	6.246	2.033	0.313
Campylobacter concisus	4.987	1.82	0.845	6.284	1.699	0.394
Campylobacter curvus	5.33	1.447	0.602	6.291	2.17	0.443
Campylobacter fetus	5.206	1.708	0.602	6.244	2.124	0.332
Campylobacter helveticus	4.49	2.19	1.255	6.263	2.283	0.343
Campylobacter hepaticus	4.9615	1.663	0.778	6.171	1.602	0.279
Campylobacter hyointestinalis	5.2325	1.638	0.602	6.2515	2.0	0.339
Campylobacter jejuni	4.921	1.708	0.845	6.236	2.083	0.304
Campylobacter lanienae	4.837	1.9264999999999999	0.8115	6.214	1.744	0.3435
Campylobacter lari	5.034	1.568	0.778	6.186	2.176	0.297
Campylobacter upsaliensis	4.679	1.914	1.079	6.224	2.083	0.348
Campylobacteraceae bacterium	4.721	1.806	1.041	6.231	1.431	0.374
Campylobacterales bacterium	3.778	2.396	1.813	6.219	1.147	0.366
Candida auris	4.472	2.959	2.124	7.098	1.954	0.449
Carnobacterium divergens	5.466	1.431	0.602	6.436	1.643	0.35
Carnobacterium maltaromaticum	5.699	1.362	0.477	6.548	1.519	0.344
Chitinophagaceae bacterium	4.184	2.417	1.708	6.535	1.255	0.419
Chitinophagia bacterium	3.9245	2.6765	1.9685000000000001	6.349500000000001	0.7985	0.389
Chlamydia abortus	6.057	0.477	0.0	6.064	2.0	0.399
Chlamydia psittaci	5.7364999999999995	1.1545	0.1505	6.071	2.4299999999999997	0.39
Chlamydia suis	5.8345	0.301	0.0	6.038	1.4545	0.4215
Chlamydia trachomatis	5.993	0.389	0.0	6.018	2.1505	0.413
Chlamydiae bacterium	4.013	2.33	1.681	6.211	0.788	0.43
Chlorobi bacterium	4.619	1.9220000000000002	1.19	6.3375	1.699	0.5075000000000001
Chloroflexi bacterium	4.204	2.199	1.58	6.324	1.0	0.562
Chloroflexia bacterium	3.704	2.751	2.199	6.464	1.045	0.639
Christensenellaceae bacterium	4.281000000000001	2.233	1.5554999999999999	6.4305	1.139	0.583
Chromatiaceae bacterium	3.971	2.507	1.881	6.405	1.554	0.641
Chromatiales bacterium	3.604	2.5665	2.097	6.2475000000000005	0.8975	0.6214999999999999
Chromobacterium violaceum	5.303	1.826	0.954	6.678	2.176	0.648
Chthoniobacterales bacterium	3.758	2.624	2.061	6.312	1.05	0.598
