Species	logn50	logcontigcount	logl50	logtotlen	logcoverage	gccontent
Planctomycetes bacterium	4.054	2.331	1.72	6.471	1.0	0.6	
Planctomycetia bacterium	4.062	2.3645	1.744	6.3934999999999995	1.0	0.6355	
Proteobacteria bacterium	3.9275	2.4495	1.785	6.375	1.0	0.5515000000000001	
Proteus mirabilis	5.202999999999999	2.1020000000000003	0.954	6.6035	2.0	0.389	
Pseudomonas syringae	4.718	2.468	1.556	6.787	1.973	0.588	
Rhizobiales bacterium	5.366	1.74	0.903	6.711	2.477	0.594	
Rhizobium leguminosarum	5.457	1.94	0.954	6.879	1.477	0.607	
Rhodobacteraceae bacterium	4.1135	2.4425	1.7919999999999998	6.4055	1.1709999999999998	0.598	
Rhodococcus hoagii	5.999	1.6075	0.301	6.737	2.079	0.6865	
Rhodospirillaceae bacterium	4.453	1.898	1.301	6.343	-1.0	0.508	
Ruegeria conchae	5.561	1.491	0.602	6.644	2.301	0.5710000000000001	
Ruminococcaceae bacterium	4.251	2.196	1.531	6.307	1.477	0.499	
Serratia marcescens	5.308	2.135	0.954	6.72	1.9705	0.595	
Shigella boydii	4.302	2.626	1.826	6.637	2.0	0.508	
Shigella dysenteriae	4.291	2.648	1.826	6.638	2.0	0.508	
Sinorhizobium meliloti	4.8255	2.317	1.505	6.837	0.9365	0.621	
Staphylococcus haemolyticus	4.8645	1.98	1.041	6.397	2.013	0.327	
Staphylococcus pseudintermedius	5.0975	1.9055	0.903	6.425	2.0	0.374	
Stenotrophomonas maltophilia	4.77	2.232	1.415	6.684	1.996	0.664	
Streptococcus equi	4.642	1.898	1.23	6.328	2.0	0.41200000000000003	
Streptococcus mitis	5.15	1.591	0.699	6.301	1.69	0.4	
Streptococcus mutans	4.705	1.987	1.114	6.294	1.771	0.368	
Syntrophomonadaceae bacterium	4.005	2.408	1.756	6.277	1.442	0.465	
Turicibacter sanguinis	4.974	1.845	1.041	6.482	1.885	0.341	
Verrucomicrobia bacterium	4.027	2.522	1.833	6.391	1.076	0.5870000000000001	
Verrucomicrobiales bacterium	4.227	2.267	1.716	6.4275	1.0	0.5745	
Vibrio cholerae	5.252	2.057	0.903	6.603	2.0	0.475	
Vibrio vulnificus	5.289	2.127	0.954	6.696	1.97	0.467	
Xanthomonas campestris	4.919	2.664	1.301	6.686	2.898	0.639	
Xanthomonas citri	5.35	2.179	0.954	6.719	2.025	0.647	
Xanthomonas oryzae	4.327	2.635	1.799	6.633	2.248	0.639	
Xanthomonas phaseoli	4.8285	2.2110000000000003	1.38	6.6945	2.0069999999999997	0.65	
Yersinia enterocolitica	4.881	2.114	1.279	6.652	2.076	0.47100000000000003	
Yersinia pestis	4.399	2.625	1.771	6.66	1.851	0.475	
Yersinia pseudotuberculosis	4.702	2.36	1.462	6.67	2.093	0.47600000000000003	
Acetatifactor sp.	4.3715	2.2735000000000003	1.6015000000000001	6.4735	0.9864999999999999	0.473	
Acetobacter pasteurianus	4.7940000000000005	2.327	1.0965	6.484999999999999	2.481	0.5275000000000001	
Acetobacter tropicalis	4.9805	2.207	1.079	6.5725	2.2305	0.555	
