species,n50_05,n50_20,n50_80,n50_95,contig_count_05,contig_count_20,contig_count_80,contig_count_95,l50_05,l50_20,l50_80,l50_95,length_05,length_20,length_80,length_95
Neisseria meningitidis,17915,22302,53035,151032,28,109,215,290,5,12,29,37,2032348,2053595,2185793,2257398
Oenococcus oeni,7286,15608,103333,153079,32,49,418,629,4,6,35,74,1741874,1808296,1982723,2051474
Pasteurella multocida,15958,135116,326334,2279923,3,19,70,346,1,3,6,46,2201916,2266474,2397239,2465144
Pediococcus acidilactici,62423,105742,318866,514854,6,18,51,77,2,3,7,9,1824215,1934518,2054060,2074292
Planctomycetaceae bacterium,2875,5151,36770,96712,69,133,766,1362,14,33,233,422,1434367,2332346,6001076,8769043
Planctomycetes bacterium,3474,5510,40571,161298,31,72,556,1097,6,17,155,308,456156,1508726,4438812,5718596
Planctomycetia bacterium,3765,5426,28042,49848,61,106,427,786,13,25,105,222,554916,1009064,3714245,5731099
Proteobacteria bacterium,2686,4454,26495,64279,57,136,536,1009,12,30,134,257,661517,1036720,3841487,6119758
Proteus mirabilis,10561,33039,232143,3679165,3,60,296,838,1,6,35,101,3746977,3893008,4138964,4241132
Pseudomonas aeruginosa,12083,82218,398516,723218,26,50,231,1024,4,6,25,158,6223263,6373283,6904324,7121416
Pseudomonas syringae,9832,31162,239455,494600,38,76,457,1320,4,8,60,179,5588028,5907858,6253677,6487896
Pseudomonas viridiflava,92634,228691,611363,848013,31,44,113,471,3,4,9,18,5845101,5942991,6075048,6251491
Rhizobiales bacterium,3713,46750,374041,634002,17,33,137,633,3,5,29,199,1434116,3652886,6013840,7078677
Rhizobium leguminosarum,101520,214739,362306,547997,40,58,153,324,5,7,12,22,7110600,7371185,7813528,8176562
Rhodobacteraceae bacterium,3550,6529,41908,110206,46,79,505,744,7,14,137,192,1128803,1726513,3217281,4385414
Rhodococcus hoagii,62257,250864,4526314,5268489,8,22,82,194,1,1,7,27,5081910,5235079,5741577,6181790
Rhodospirillaceae bacterium,7616,17305,68219,253337,23,52,155,304,4,10,40,64,683568,1216711,3197686,4306627
Ruegeria conchae,230098,266111,490296,722577,14,19,41,64,2,3,6,7,4137837,4233249,4693248,4939296
Ruminococcaceae bacterium,4342,6917,60459,190263,28,63,320,523,4,12,83,126,1258187,1659621,2513844,3066078
Salmonella enterica,49977,100265,358137,494142,25,36,106,198,3,5,15,30,4578143,4677757,4934727,5066301
Serratia marcescens,19521,42501,506629,2823039,17,39,419,928,1,3,38,80,5043229,5121567,5628261,6263161
Shigella boydii,16822,17610,24113,79432,184,370,474,553,19,55,72,75,4181119,4251690,4486872,4865763
Shigella dysenteriae,13766,18574,23480,80222,213,410,482,617,19,59,72,83,3899257,4237194,4606199,5016611
Shigella flexneri,20713,25662,30298,33559,308,335,412,465,42,44,51,63,4301284,4383994,4529264,4615886
Shigella sonnei,21005,22592,25648,27502,353,380,454,489,51,54,61,64,4406992,4502487,4706794,4814329
Sinorhizobium meliloti,26927,46799,103494,146981,110,144,284,448,15,20,43,75,6568487,6745761,7100653,7283404
Staphylococcus aureus,32344,91861,371530,1055547,12,26,86,227,2,3,10,27,2706770,2763701,2886993,2945015
Staphylococcus epidermidis,39914,71373,122222,194714,44,61,109,179,5,7,12,20,2411778,2446084,2535147,2622496
Staphylococcus haemolyticus,29340,50639,104842,319762,29,70,146,305,3,7,16,26,2375694,2438492,2554232,2688402
Staphylococcus pseudintermedius,10653,38739,151570,221807,28,40,355,745,4,6,22,69,2513634,2560796,2745362,2808188
Stenotrophomonas maltophilia,11116,22945,117929,632037,15,79,1007,1417,3,13,87,239,4282132,4483632,9613030,10012145
Streptococcus agalactiae,33096,51754,176599,383893,17,25,97,165,2,4,13,21,1951145,2033772,2169747,2254112
Streptococcus equi,40285,42457,48234,58111,68,74,105,144,12,16,18,19,2060029,2120223,2153425,2173417
Streptococcus mitis,33710,74863,226222,828177,7,23,66,126,1,3,9,19,1868794,1939499,2058881,2144604
Streptococcus mutans,29351,40274,170024,679374,12,36,127,143,2,4,17,20,1797735,1855602,2031959,2144020
Streptococcus pneumoniae,39626,56595,185181,373321,16,28,83,188,2,4,12,17,1994321,2038945,2131670,2188249
Streptococcus pyogenes,97098,147302,249438,374231,9,14,29,55,2,3,5,7,1713443,1744112,1841245,1891278
Streptococcus suis,30776,55346,170417,233645,21,27,117,449,4,4,13,23,1985204,2044355,2259055,2455151
Syntrophomonadaceae bacterium,4365,5817,17322,42907,84,173,338,435,15,32,85,123,1065090,1430902,2376531,2880728
Turicibacter sanguinis,12553,47735,106511,118512,51,55,135,429,9,10,18,51,2814112,2928169,3094103,3097755
Verrucomicrobia bacterium,3440,5034,23846,57218,80,179,561,1028,18,36,127,330,1139276,1650140,4066159,5282017
Verrucomicrobiales bacterium,4897,9447,25299,46560,68,97,355,547,17,28,88,168,920838,1671391,3703803,5641420
Vibrio cholerae,45672,97356,246645,644573,27,78,172,275,3,6,13,28,3889295,3947528,4061408,4188138
Vibrio parahaemolyticus,14830,31157,405445,557446,34,60,459,799,3,5,49,102,4931945,5028413,5193932,5378509
Vibrio vulnificus,51962,99310,310372,3224197,3,79,230,550,1,5,16,32,4755588,4870036,5129873,5484498
Xanthomonas campestris,83008,83008,83008,83008,461,461,461,461,20,20,20,20,4855507,4855507,4855507,4855507
Xanthomonas citri,31282,164836,240403,2791288,29,101,432,1294,1,7,12,54,5128974,5190977,5384153,5542674
Xanthomonas oryzae,19656,20440,22682,42009,391,412,466,492,31,60,66,70,4237605,4258206,4371478,4591802
Xanthomonas phaseoli,10726,45152,77749,119072,123,138,260,676,15,19,34,132,4774228,4852360,5112937,5234898
Yersinia enterocolitica,28152,48227,187899,1652234,4,59,194,341,1,8,27,46,4265583,4395991,4668428,4805550
Yersinia pestis,6743,9028,47421,54068,139,218,1057,1454,27,33,152,193,4333028,4451929,4633631,4765782
Yersinia pseudotuberculosis,25417,31960,91179,159034,87,152,315,385,10,17,45,55,4386432,4563107,4791624,4985395
